request_api_key,request_id,request_status,request_start,request_end,request_duration,prompt_tokens,completion_tokens,total_tokens
aem-sidekick-genai-assistant,None,200,2024-07-03 19:15,2024-07-03 19:15,3.620404,2631,65,2696
aem-sidekick-genai-assistant,None,200,2024-07-03 19:15,2024-07-03 19:15,2.798207,1793,58,1851
aem-sidekick-genai-assistant,None,200,2024-07-03 19:16,2024-07-03 19:16,3.941223,2239,95,2334
aem-sidekick-genai-assistant,None,200,2024-07-03 19:16,2024-07-03 19:17,5.303796,3532,99,3631
aem-sidekick-genai-assistant,None,200,2024-07-03 19:17,2024-07-03 19:17,5.200774,2682,77,2759
aem-sidekick-genai-assistant,None,200,2024-07-03 19:17,2024-07-03 19:17,3.407759,2631,65,2696
aem-sidekick-genai-assistant,None,200,2024-07-03 19:18,2024-07-03 19:18,2.933547,1793,63,1856
aem-sidekick-genai-assistant,None,200,2024-07-03 19:19,2024-07-03 19:19,7.982082,2239,297,2536
aem-sidekick-genai-assistant,None,200,2024-07-03 19:19,2024-07-03 19:19,4.850237,3532,99,3631
aem-sidekick-genai-assistant,None,200,2024-07-03 19:19,2024-07-03 19:19,3.46752,2682,77,2759
aem-sidekick-genai-assistant,None,200,2024-07-03 19:31,2024-07-03 19:31,2.339444,2631,65,2696
aem-sidekick-genai-assistant,None,200,2024-07-03 19:32,2024-07-03 19:32,8.394085,1793,333,2126
aem-sidekick-genai-assistant,None,200,2024-07-03 19:32,2024-07-03 19:32,3.641568,2239,67,2306
aem-sidekick-genai-assistant,None,200,2024-07-03 19:33,2024-07-03 19:33,3.716322,2682,77,2759
aem-sidekick-genai-assistant,None,200,2024-07-03 19:33,2024-07-03 19:34,3.793998,3779,67,3846
aem-sidekick-genai-assistant,None,200,2024-07-03 19:35,2024-07-03 19:35,3.98534,1625,63,1688
aem-sidekick-genai-assistant,None,200,2024-07-03 19:35,2024-07-03 19:35,3.34823,3741,83,3824
aem-sidekick-genai-assistant,None,200,2024-07-03 19:35,2024-07-03 19:35,2.507524,2631,65,2696
aem-sidekick-genai-assistant,None,200,2024-07-03 19:36,2024-07-03 19:36,2.242768,1793,58,1851
