request_api_key,request_id,request_status,request_start,request_end,request_duration,prompt_tokens,completion_tokens,total_tokens
aem-sidekick-genai-assistant,None,200,2024-07-03 19:16,2024-07-03 19:16,45.918638,1686,1343,3029
aem-sidekick-genai-assistant,None,200,2024-07-03 19:17,2024-07-03 19:18,49.463817,1847,1503,3350
aem-sidekick-genai-assistant,None,200,2024-07-03 19:18,2024-07-03 19:19,43.124301,1339,1264,2603
aem-sidekick-genai-assistant,None,200,2024-07-03 19:31,2024-07-03 19:32,35.120771,1847,1503,3350
aem-sidekick-genai-assistant,None,200,2024-07-03 19:33,2024-07-03 19:33,49.875303,2112,1938,4050
aem-sidekick-genai-assistant,None,200,2024-07-03 19:35,2024-07-03 19:35,1.326592,178,6,184
aem-sidekick-genai-assistant,None,200,2024-07-03 19:35,2024-07-03 19:36,52.07234,1847,1506,3353
aem-sidekick-genai-assistant,None,200,2024-07-03 19:37,2024-07-03 19:37,21.838663,3268,971,4239
aem-sidekick-genai-assistant,None,200,2024-07-03 19:38,2024-07-03 19:39,47.683338,1847,1503,3350
aem-sidekick-genai-assistant,None,200,2024-07-03 19:48,2024-07-03 19:49,51.9912,1847,1234,3081
aem-sidekick-genai-assistant,None,200,2024-07-03 19:49,2024-07-03 19:49,34.628597,1339,1074,2413
aem-sidekick-genai-assistant,None,200,2024-07-03 19:53,2024-07-03 19:54,59.252132,1847,1506,3353
aem-sidekick-genai-assistant,None,200,2024-07-03 19:56,2024-07-03 19:56,7.979684,1704,177,1881
aem-sidekick-genai-assistant,None,200,2024-07-03 19:58,2024-07-03 19:58,7.827458,380,188,568
aem-sidekick-genai-assistant,None,200,2024-07-03 23:38,2024-07-03 23:38,7.964376,1847,249,2096
aem-sidekick-genai-assistant,None,200,2024-07-03 23:39,2024-07-03 23:39,12.134417,1807,307,2114
aem-sidekick-genai-assistant,None,200,2024-07-03 23:39,2024-07-03 23:40,48.734979,1740,1396,3136
aem-sidekick-genai-assistant,None,200,2024-07-03 23:42,2024-07-03 23:43,53.972385,3090,1576,4666
aem-sidekick-genai-assistant,None,200,2024-07-03 23:43,2024-07-03 23:43,1.020519,181,6,187
aem-sidekick-genai-assistant,None,200,2024-07-04 00:06,2024-07-04 00:07,56.92229,1847,1502,3349
aem-sidekick-genai-assistant,None,200,2024-07-04 00:07,2024-07-04 00:08,49.760811,1339,1265,2604
aem-sidekick-genai-assistant,None,200,2024-07-04 00:08,2024-07-04 00:09,48.96655,1740,1398,3138
aem-sidekick-genai-assistant,None,200,2024-07-04 00:09,2024-07-04 00:10,35.218009,3268,1091,4359
aem-sidekick-genai-assistant,None,200,2024-07-04 00:10,2024-07-04 00:11,32.994822,1063,945,2008
aem-sidekick-genai-assistant,None,200,2024-07-04 00:11,2024-07-04 00:12,58.878774,3090,1715,4805
aem-sidekick-genai-assistant,None,200,2024-07-04 00:12,2024-07-04 00:12,1.106295,181,6,187
aem-sidekick-genai-assistant,None,200,2024-07-04 00:13,2024-07-04 00:13,6.891205,376,188,564
aem-sidekick-genai-assistant,None,200,2024-07-04 00:16,2024-07-04 00:16,15.339483,580,383,963
aem-sidekick-genai-assistant,None,200,2024-07-04 00:17,2024-07-04 00:17,12.631066,380,260,640
aem-sidekick-genai-assistant,None,200,2024-07-04 00:17,2024-07-04 00:18,7.020471,656,206,862
aem-sidekick-genai-assistant,None,200,2024-07-04 00:19,2024-07-04 00:19,32.147195,894,848,1742
